raw_skill,canonical_skill,total_mentions,record_count,source_labels,source_scopes,categories
Programming Languages - Java,Java,4,4,core_skills,"both, scraped_current",Programming Languages
Vector Embeddings,Embeddings,4,4,"core_responsibilities, preferred_quals",scraped_current,AI / ML
pytest,pytest,4,4,"core_skills, must_have_quals, preferred_quals","both, scraped_current",Quality & Workflow
Azure Blob Storage,Azure Blob Storage,3,2,"core_responsibilities, must_have_quals, portfolio_job_md","both, scraped_current",Databases / Storage / Streaming
Embedded systems,Embedded Systems,3,3,core_skills,"both, scraped_current",Architecture / Systems
Programming Languages - C,C,3,3,core_skills,"both, scraped_current",Programming Languages
Programming Languages - C++,C++,3,3,core_skills,"both, scraped_current",Programming Languages
typescript,TypeScript,3,3,"core_responsibilities, must_have_quals, preferred_quals",scraped_current,Programming Languages
Dbt,dbt,2,2,must_have_quals,scraped_current,Data & Analytics
Restful APIs,REST APIs,2,2,must_have_quals,"both, scraped_current",Backend & APIs
Selenium Webdriver,Selenium,2,1,"must_have_quals, portfolio_job_md",both,Quality & Workflow
VB.Net,VB.NET,2,1,"core_skills, must_have_quals",scraped_current,Programming Languages
embedded systems,Embedded Systems,2,2,preferred_quals,scraped_current,Architecture / Systems
vector embeddings,Embeddings,2,2,core_responsibilities,scraped_current,AI / ML
Anomaly detection,Anomaly Detection,1,1,core_skills,both,Data & Analytics
Dynamodb,DynamoDB,1,1,must_have_quals,scraped_current,Databases / Storage / Streaming
K8s,Kubernetes,1,1,must_have_quals,both,Cloud / DevOps / Infrastructure
MatLab,MATLAB,1,1,preferred_quals,scraped_current,Programming Languages
Material Design,Material Design,1,1,preferred_quals,scraped_current,Frontend & UI
Object-Oriented programming,Object-Oriented Programming,1,1,core_skills,scraped_current,Architecture / Systems
Object-oriented Programming,Object-Oriented Programming,1,1,core_skills,scraped_current,Architecture / Systems
Programming Languages - C#,C#,1,1,core_skills,scraped_current,Programming Languages
Programming Languages - Python,Python,1,1,core_skills,scraped_current,Programming Languages
PyTest,pytest,1,1,must_have_quals,scraped_current,Quality & Workflow
REST Web Services,REST APIs,1,1,must_have_quals,both,Backend & APIs
Retrieval Evaluation,Retrieval Evaluation,1,1,preferred_quals,scraped_current,AI / ML
SSMs,SSMS,1,1,core_responsibilities,scraped_current,Databases / Storage / Streaming
Selenium WebDriver,Selenium,1,1,core_skills,both,Quality & Workflow
Time-series analysis,Time Series Analysis,1,1,core_skills,scraped_current,Data & Analytics
VB.net,VB.NET,1,1,preferred_quals,both,Programming Languages
large language models (LLMs),LLM,1,1,preferred_quals,both,AI / ML
php,PHP,1,1,must_have_quals,scraped_current,Programming Languages
